"National.Database.Number","Genus","Common.Name","Affiliation","City...from.strandings.table","County","State","Locality.Detail","Latitude","Latitude.Units","Longitude","Longitude.Units","Year.of.Observation","Observation.Date","Mammal.Type"
"NW-2007-1078171","Zalophus","Sea lion, California","WDFW Marine Mammal Investigations","Silverdale","Kitsap","WA","Old town dock","47.6396","dd.dddd","Ð122.6893","dd.dddd",2007,"2007-DEC-21","Pinniped"
"NW-2007-1078173","Phoca","Seal, harbor","WDFW Marine Mammal Investigations","Steilacoom","Pierce","WA","Old Steilacoom marina","47.1676","dd.dddd","Ð122.6078","dd.dddd",2007,"2007-DEC-26","Pinniped"
"NW-2008-1085973","Phoca","Seal, harbor","WDFW MMI","Tacoma","Pierce","WA","4752 Hyda Blvd (Browns Point)","47.2906","dd.dddd","Ð122.4412","dd.dddd",2008,"2008-APR-08","Pinniped"
"NW-2006-1065421","Mirounga","Seal, northern elephant","WDFW Shellfish","Oysterville","Pacific","WA","Oysterville","46.5525","decimal degrees","Ð124.0591","decimal degrees",2006,"2006-JUN-26","Pinniped"
"NW-2007-1065313","Phoca","Seal, harbor","WDFW Volunteer","Gertrude Island","Pierce","WA","On Gertrude Island tip","47.2158","decimal degrees","Ð122.6601","decimal degrees",2007,"2007-FEB-05","Pinniped"
"NW-2006-1065419","Phoca","Seal, harbor","WDFW Volunteer","Oceans Shores","Grays Harbor","WA","Just south of Quinalt Beach Resort, Ocean Shores","47.0375","decimal degrees","Ð124.1695","decimal degrees",2006,"2006-JUN-28","Pinniped"
"NW-2006-1065447","Mirounga","Seal, northern elephant","WDFW Volunteer","Ocean Shores","Grays Harbor","WA","Just North of Quinault Beach Resort, Ocean Shores","47.0375","decimal degrees","Ð124.1695","decimal degrees",2006,"2006-JUN-25","Pinniped"
"NW-2008-1085883","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","West Side Of Gertrude Is. behind blind","47.2096","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-OCT-28","Pinniped"
"NW-2008-1085885","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","North side of Gertrude Island","47.2189","dd.dddd","Ð122.6595","dd.dddd",2008,"2008-OCT-28","Pinniped"
"NW-2008-1085887","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","NW side Gertrude island","47.218","dd.dddd","Ð122.6553","dd.dddd",2008,"2008-OCT-28","Pinniped"
"NW-2008-1085889","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","4908 Rockaway Beach","47.6019","dd.dddd","Ð122.4928","dd.dddd",2008,"2008-JUN-12","Pinniped"
"NW-2008-1085891","Zalophus","Sea lion, California","WDFW/MMI","Westport","Grays Harbor","WA","1/2 mile south of Bonge","46.8414","dd.dddd","Ð124.107","dd.dddd",2008,"2008-JUN-11","Pinniped"
"NW-2008-1085895","Zalophus","Sea lion, California","WDFW/MMI","Bainbridge Island","Kitsap","WA","Point White","47.5907","dd.dddd","Ð122.5672","dd.dddd",2008,"2008-JUN-26","Pinniped"
"NW-2008-1085897","Phoca","Seal, harbor","WDFW/MMI","Moclips","Grays Harbor","WA","Moclips Beach Access","47.2358","dd.dddd","Ð124.2201","dd.dddd",2008,"2008-JUN-12","Pinniped"
"NW-2008-1085899","Phoca","Seal, harbor","WDFW/MMI","Port Orchard","Kitsap","WA","8135 Yukon Harbor","47.5239","dd.dddd","Ð122.5412","dd.dddd",2008,"2008-JUN-14","Pinniped"
"NW-2008-1085901","Mirounga","Seal, northern elephant","WDFW/MMI","Moclips","Grays Harbor","WA","Moclips just north of beach access","47.22","dd.dddd","Ð124.2113","dd.dddd",2008,"2008-JUN-16","Pinniped"
"NW-2008-1086121","Phoca","Seal, harbor","WDFW/MMI","Gig Harbor","Pierce","WA","2308 Sullivan Rd NW","47.3263","dd.dddd","Ð122.5725","dd.dddd",2008,"2008-AUG-24","Pinniped"
"NW-2007-1086123","Eumetopias","Sea lion, Steller","WDFW/MMI","Ocean Shores","Grays Harbor","WA","4/10 M north of Damon RD beach access","47.0191","dd.dddd","Ð124.1698","dd.dddd",2007,"2007-DEC-31","Pinniped"
"NW-2008-1086125","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA","Just north of the Best Western","47.0181","dd.dddd","Ð124.1696","dd.dddd",2008,"2008-JAN-02","Pinniped"
"NW-2008-1086127","Zalophus","Sea lion, California","WDFW/MMI","Grayland","Pacific","WA","1/4 mile north of Warrenton cannery","46.743","dd.dddd","Ð124.0923","dd.dddd",2008,"2008-JAN-09","Pinniped"
"NW-2008-1086129","Eumetopias","Sea lion, Steller","WDFW/MMI","Ocean Shores","Grays Harbor","WA","North of Ocean City beach approach","47.0743","dd.dddd","Ð124.173","dd.dddd",2008,"2008-JAN-09","Pinniped"
"NW-2008-1086131","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA","Just south of Days Inn","46.973","dd.dddd","Ð124.1698","dd.dddd",2008,"2008-JAN-11","Pinniped"
"NW-2008-1085733","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","W. side of Gertrude Island","47.2175","dd.dddd","Ð122.6565","dd.dddd",2008,"2008-JUL-23","Pinniped"
"NW-2008-1085735","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-JUL-25","Pinniped"
"NW-2008-1085737","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","E. side Gertrude Island Mid island","47.2167","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-JUL-25","Pinniped"
"NW-2008-1085739","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","NE side Gertrude Island haul-out, high tide","47.2179","dd.dddd","Ð122.6553","dd.dddd",2008,"2008-JUL-26","Pinniped"
"NW-2008-1085741","Phoca","Seal, harbor","WDFW/MMI","McNeil Island","Pierce","WA","At LT near gravel pit Still Harbor","47.2082","dd.dddd","Ð122.6575","dd.dddd",2008,"2008-JUL-27","Pinniped"
"NW-2008-1085743","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude W side Mid Island","47.2175","dd.dddd","Ð122.6565","dd.dddd",2008,"2008-JUL-28","Pinniped"
"NW-2008-1085745","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island W. tip low tide mark","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-JUL-28","Pinniped"
"NW-2008-1085747","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-01","Pinniped"
"NW-2008-1085907","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","Bainbridge Island 10870 Broomgerrie Rd","47.6377","dd.dddd","Ð122.5026","dd.dddd",2008,"2008-JUN-17","Pinniped"
"NW-2008-1085909","Phoca","Seal, harbor","WDFW/MMI","North cove","Grays Harbor","WA","S of Twin Harbors just N of Wash away Beach","46.7408","dd.dddd","Ð124.0907","dd.dddd",2008,"2008-JUN-23","Pinniped"
"NW-2008-1085911","Phoca","Seal, harbor","WDFW/MMI","Olympia","Thurston","WA","DNR site at Point","47.1331","dd.dddd","Ð122.8399","dd.dddd",2008,"2008-JUL-18","Pinniped"
"NW-2008-1085913","Phoca","Seal, harbor","WDFW/MMI","Westport","Grays Harbor","WA","N Twin Harbors 1/4 mile south of no drive sign","46.8859","dd.dddd","Ð124.1233","dd.dddd",2008,"2008-JUN-23","Pinniped"
"NW-2008-1085915","Phoca","Seal, harbor","WDFW/MMI","Steilacoom","Pierce","WA","under Steilacoom marina at Soulter's Point","47.1758","dd.dddd","Ð122.608","dd.dddd",2008,"2008-JUN-22","Pinniped"
"NW-2008-1085917","Phoca","Seal, harbor","WDFW/MMI","Des Moines","King","WA","Redondo Boat Launch","47.3422","dd.dddd","Ð122.3219","dd.dddd",2008,"2008-JUN-11","Pinniped"
"NW-2008-1085749","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island tip West side","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-01","Pinniped"
"NW-2008-1085751","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island tip East side","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-01","Pinniped"
"NW-2008-1085753","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude island tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085755","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","W. side GI mid island","47.2179","dd.dddd","Ð122.6565","dd.dddd",2008,"2008-AUG-04","Pinniped"
"NW-2008-1085757","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","W. Side Gertrude Island","47.2166","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-04","Pinniped"
"NW-2008-1085759","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","West side Gertrude Island","47.2166","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-04","Pinniped"
"NW-2008-1085761","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","On W. side Gertrude island","47.2166","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085763","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","West side Gertrude island","47.2166","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085765","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude island tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085767","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude island tip. Mid tide","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085921","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","10870 Broomgerrie Rd, Bainbridge Island.","47.6374","dd.dddd","Ð122.5023","dd.dddd",2008,"2008-JUN-26","Pinniped"
"NW-2008-1085923","Eumetopias","Sea lion, Steller","WDFW/MMI","Tacoma","Pierce","WA","At Point Defiance boathouse gas dock","47.3043","dd.dddd","Ð122.5098","dd.dddd",2008,"2008-JUN-25","Pinniped"
"NW-2008-1085925","Phoca","Seal, harbor","WDFW/MMI","Long Beach","Pacific","WA","Long Beach Bolstad Beach Approach","46.358","dd.dddd","Ð124.0587","dd.dddd",2008,"2008-JUN-30","Pinniped"
"NW-2008-1085927","Phoca","Seal, harbor","WDFW/MMI","Seattle","King","WA","Anchor park , Duwamish head","47.595","dd.dddd","Ð122.3874","dd.dddd",2008,"2008-JUL-01","Pinniped"
"NW-2008-1085931","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA",".6 miles N. of casino","46.972","dd.dddd","Ð124.1658","dd.dddd",2008,"2008-JUL-31","Pinniped"
"NW-2008-1085933","Eumetopias","Sea lion, Steller","WDFW/MMI","Copalis","Grays Harbor","WA","in front of Rods Campground off highway 109","47.1203","dd.dddd","Ð124.1803","dd.dddd",2008,"2008-AUG-01","Pinniped"
"NW-2008-1085769","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","North E. side of Gertrude Island","47.2179","dd.dddd","Ð122.6553","dd.dddd",2008,"2008-AUG-05","Pinniped"
"NW-2008-1085771","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","West side Gertrude Island","47.2179","dd.dddd","Ð122.6565","dd.dddd",2008,"2008-AUG-11","Pinniped"
"NW-2008-1085773","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","East side Gertrude Island","47.2167","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-11","Pinniped"
"NW-2008-1085775","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","NE side of Gertrude Island","47.2179","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085777","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island E. Side","47.218","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085779","Phoca","Seal, harbor","WDFW/MMI","McNeil Island","Pierce","WA","NE side of McNeil Island at point","47.2059","dd.dddd","Ð122.642","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085781","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Eastside Gertrude Island at Pickle weed","47.218","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085783","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","NW side of Gertrude Island","47.218","dd.dddd","Ð122.6553","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085785","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Tip of Gertrude Island","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085787","Phoca","Seal, harbor","WDFW/MMI","McNeil Island","Pierce","WA","2 Coves E. of Gertrude on Mc Neil island","47.2074","dd.dddd","Ð122.6419","dd.dddd",2008,"2008-AUG-12","Pinniped"
"NW-2008-1085935","Phoca","Seal, harbor","WDFW/MMI","Purdy","Kitsap","WA","East side of Purdy bridge behind Bridge way M.","47.3862","dd.dddd","Ð122.6278","dd.dddd",2008,"2008-AUG-01","Pinniped"
"NW-2008-1085937","Phoca","Seal, harbor","WDFW/MMI","Poulsbo","Kitsap","WA","Port of Poulsbo","47.7276","dd.dddd","Ð122.6503","dd.dddd",2008,"2008-AUG-06","Pinniped"
"NW-2008-1085939","Phoca","Seal, harbor","WDFW/MMI","Longbranch","Pierce","WA","60 yards N. of boat launch","47.1917","dd.dddd","Ð122.7463","dd.dddd",2008,"2008-AUG-15","Pinniped"
"NW-2008-1085941","Phoca","Seal, harbor","WDFW/MMI","Gig Harbor","Pierce","WA","94th Ave on boat float","47.3263","dd.dddd","Ð122.5725","dd.dddd",2008,"2008-AUG-16","Pinniped"
"NW-2008-1085943","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","Point Defiance boat launch","47.307","dd.dddd","Ð122.5159","dd.dddd",2008,"2008-AUG-22","Pinniped"
"NW-2008-1085945","Phoca","Seal, harbor","WDFW/MMI","Poulsbo","Kitsap","WA","Poulsbo Marina","47.7276","dd.dddd","Ð122.6503","dd.dddd",2008,"2008-JUN-21","Pinniped"
"NW-2008-1085947","Phoca","Seal, harbor","WDFW/MMI","Keyport","Kitsap","WA","At boat launch","47.7052","dd.dddd","Ð122.623","dd.dddd",2008,"2008-JUL-06","Pinniped"
"NW-2008-1085949","Phoca","Seal, harbor","WDFW/MMI","Keyport","Kitsap","WA","Waterfront","47.7052","dd.dddd","Ð122.623","dd.dddd",2008,"2008-JUN-30","Pinniped"
"NW-2008-1085951","Eumetopias","Sea lion, Steller","WDFW/MMI","Grayland","Grays Harbor","WA","S of Grayland Beach Rd","46.8041","dd.dddd","Ð124.1012","dd.dddd",2008,"2008-JUL-05","Pinniped"
"NW-2008-1085953","Phoca","Seal, harbor","WDFW/MMI","Hansville","Kitsap","WA","Point No Point Lighthouse","47.9073","dd.dddd","Ð122.5227","dd.dddd",2008,"2008-JUL-02","Pinniped"
"NW-2008-1085789","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","East side of Gertrude Island","47.2001","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-16","Pinniped"
"NW-2008-1085791","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","W. side Gertrude Island Tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-16","Pinniped"
"NW-2008-1085793","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island top of tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-16","Pinniped"
"NW-2008-1085795","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","E side Gertrude Island","47.2001","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-18","Pinniped"
"NW-2008-1085797","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","West side of Gertrude Island, behind blind","47.2166","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-18","Pinniped"
"NW-2008-1085799","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Tip of Gertrude Island","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-18","Pinniped"
"NW-2008-1085801","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Gertrude Island tip","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-20","Pinniped"
"NW-2008-1085803","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","Tip Gertrude Island","47.2096","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-AUG-20","Pinniped"
"NW-2008-1085805","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","East side of Gertrude Island tip","47.2096","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-20","Pinniped"
"NW-2008-1085807","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","East side of Gertrude Island mid Island","47.2001","dd.dddd","Ð122.6563","dd.dddd",2008,"2008-AUG-20","Pinniped"
"NW-2008-1085955","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","11067 Olallie Ln NE Bainbridge IS, WA","47.6583","dd.dddd","Ð122.5869","dd.dddd",2008,"2008-JUL-05","Pinniped"
"NW-2008-1085957","Phoca","Seal, harbor","WDFW/MMI","Nisqually","Thurston","WA","E of I5 Bridge Nisqually River","47.0869","dd.dddd","Ð122.6917","dd.dddd",2008,"2008-JUL-04","Pinniped"
"NW-2008-1085959","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","Owens Beach","47.3168","dd.dddd","Ð122.5421","dd.dddd",2008,"2008-JUL-12","Pinniped"
"NW-2008-1085961","Phoca","Seal, harbor","WDFW/MMI","Grayland","Pacific","WA","300 yards S. county line beach access","46.8032","dd.dddd","Ð124.0993","dd.dddd",2008,"2008-JUL-27","Pinniped"
"NW-2008-1085963","Phoca","Seal, harbor","WDFW/MMI","Fox Island","Pierce","WA","130 Brick Rd., Fox Island","47.2403","dd.dddd","Ð122.6222","dd.dddd",2008,"2008-JUL-26","Pinniped"
"NW-2008-1085965","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","11 Shuster parkway (Tacoma grainery)","47.2589","dd.dddd","Ð127.439","dd.dddd",2008,"2008-MAR-31","Pinniped"
"NW-2008-1085967","Phoca","Seal, harbor","WDFW/MMI","Seattle","King","WA","south of Fauntleroy ferry terminal, Seattle","47.1846","dd.dddd","Ð122.5354","dd.dddd",2008,"2008-MAR-31","Pinniped"
"NW-2008-1085969","Phoca","Seal, harbor","WDFW/MMI","Seattle","King","WA","91410 arroyo beach dr. Seattle","47.5394","dd.dddd","Ð122.3971","dd.dddd",2008,"2008-MAR-29","Pinniped"
"NW-2008-1085971","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","Faye Bainbridge State park","47.703","dd.dddd","Ð122.5048","dd.dddd",2008,"2008-APR-03","Pinniped"
"NW-2008-1085975","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","520 Klapache Ave NE","47.2982","dd.dddd","Ð122.4392","dd.dddd",2008,"2008-APR-04","Pinniped"
"NW-2008-1085977","Phoca","Seal, harbor","WDFW/MMI","Bellingham","Whatcom","WA","Birch Bay Village Marina","48.9285","dd.dddd","Ð122.7929","dd.dddd",2008,"2008-APR-11","Pinniped"
"NW-2008-1085979","Phoca","Seal, harbor","WDFW/MMI","Bainbridge Island","Kitsap","WA","9551 NE South Beach Dr. Bainbridge Island","47.5718","dd.dddd","Ð122.5204","dd.dddd",2008,"2008-APR-28","Pinniped"
"NW-2008-1085981","Phoca","Seal, harbor","WDFW/MMI","Grayland","Grays Harbor","WA","1/2 mile north of Cranberry Beach access","46.7904","dd.dddd","Ð124.093","dd.dddd",2008,"2008-MAY-01","Pinniped"
"NW-2008-1085983","Phoca","Seal, harbor","WDFW/MMI","Belfair","Mason","WA","Plumb point/ Belfair State Park","47.4238","dd.dddd","Ð122.8716","dd.dddd",2008,"2008-APR-30","Pinniped"
"NW-2008-1085985","Phoca","Seal, harbor","WDFW/MMI","Steilacoom","Pierce","WA","Sunny Side Beach","47.1733","dd.dddd","Ð122.5875","dd.dddd",2008,"2008-MAY-04","Pinniped"
"NW-2008-1085987","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","646 S Wilton Rd, Tacoma Outboard Ass.","47.2523","dd.dddd","Ð122.5638","dd.dddd",2008,"2008-MAY-09","Pinniped"
"NW-2008-1085991","Eumetopias","Sea lion, Steller","WDFW/MMI","Port Gamble","Kitsap","WA","N of Hood Canal Bridge","47.854","dd.dddd","Ð122.6036","dd.dddd",2008,"2008-MAY-12","Pinniped"
"NW-2008-1085993","Phoca","Seal, harbor","WDFW/MMI","Gig Harbor","Pierce","WA","between Gig Harbor and Fox Island","47.2583","dd.dddd","Ð122.3546","dd.dddd",2008,"2008-MAY-12","Pinniped"
"NW-2008-1085995","Zalophus","Sea lion, California","WDFW/MMI","Westport","Grays Harbor","WA","1/4 mile N of Schafield","46.856","dd.dddd","Ð124.1099","dd.dddd",2008,"2008-MAY-15","Pinniped"
"NW-2008-1085997","Phoca","Seal, harbor","WDFW/MMI","Belfair","Mason","WA","18341 E. State Route 106, Belfair","47.4065","dd.dddd","Ð122.8727","dd.dddd",2008,"2008-MAY-21","Pinniped"
"NW-2008-1085999","Phoca","Seal, harbor","WDFW/MMI","Vaughn","Kitsap","WA","6812-190ave. KPN","47.3361","dd.dddd","Ð122.787","dd.dddd",2008,"2008-MAY-04","Pinniped"
"NW-2008-1086001","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA","At N. Jetty of Ocean Shores","46.9235","dd.dddd","Ð124.1715","dd.dddd",2008,"2008-MAY-25","Pinniped"
"NW-2008-1086003","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA","N. Jetty Ocean Shores","46.9235","dd.dddd","Ð124.1715","dd.dddd",2008,"2008-MAY-25","Pinniped"
"NW-2008-1086005","Phoca","Seal, harbor","WDFW/MMI","Ocean Shores","Grays Harbor","WA","At North Jetty","46.9235","dd.dddd","Ð124.1715","dd.dddd",2008,"2008-MAY-25","Pinniped"
"NW-2008-1086007","Phoca","Seal, harbor","WDFW/MMI","Westport","Grays Harbor","WA","100 yds south Bonge Beach, Westport","46.842","dd.dddd","Ð124.1074","dd.dddd",2008,"2008-MAY-25","Pinniped"
"NW-2008-1086009","Mirounga","Seal, northern elephant","WDFW/MMI","Ocean Shores","Grays Harbor","WA","N of Best Western","47.0379","dd.dddd","Ð124.175","dd.dddd",2008,"2008-JUN-02","Pinniped"
"NW-2008-1086011","Eumetopias","Sea lion, Steller","WDFW/MMI",NA,"Pacific","WA","on W buoy on Willapa Bay","46.6883","dd.dddd","Ð124.1053","dd.dddd",2008,"2008-MAY-29","Pinniped"
"NW-2008-1086013","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","Day Island","47.0379","dd.dddd","Ð124.175","dd.dddd",2008,"2008-JUN-06","Pinniped"
"NW-2008-1086015","Eumetopias","Sea lion, Steller","WDFW/MMI","Westport","Grays Harbor","WA","Twin Harbors N of no drive sign","46.8981","dd.dddd","Ð124.1307","dd.dddd",2008,"2008-JUN-09","Pinniped"
"NW-2008-1086017","Eumetopias","Sea lion, Steller","WDFW/MMI","Westport","Grays Harbor","WA","Twin Harbors N of no drive sign","46.8728","dd.dddd","Ð124.1214","dd.dddd",2008,"2008-JUN-09","Pinniped"
"NW-2008-1086019","Zalophus","Sea lion, California","WDFW/MMI","Westport","Grays Harbor","WA","Twin Harbors N of no drive sign","46.8608","dd.dddd","Ð124.117","dd.dddd",2008,"2008-JUN-09","Pinniped"
"NW-2008-1086021","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","1/2 mile North West of Point Defiance Boat House","47.3168","dd.dddd","Ð122.5334","dd.dddd",2008,"2008-OCT-23","Pinniped"
"NW-2008-1086023","Phoca","Seal, harbor","WDFW/MMI","Port Orchard","Kitsap","WA","SE Cornell Street","47.524","dd.dddd","Ð122.5231","dd.dddd",2008,"2008-OCT-26","Pinniped"
"NW-2008-1086027","Mirounga","Seal, northern elephant","WDFW/MMI","Gig Harbor","Pierce","WA","Minter Creek shellfish company","47.3579","dd.dddd","Ð122.6922","dd.dddd",2008,"2008-OCT-06","Pinniped"
"NW-2008-1086029","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","Browns Point 520 Klapatche St","47.2751","dd.dddd","Ð122.4195","dd.dddd",2008,"2008-OCT-30","Pinniped"
"NW-2008-1086031","Phoca","Seal, harbor","WDFW/MMI","Indianola","Kitsap","WA","just west of staircase Shore Dr.","47.7467","dd.dddd","Ð122.5261","dd.dddd",2008,"2008-NOV-02","Pinniped"
"NW-2008-1086033","Phoca","Seal, harbor","WDFW/MMI","Fox Island","Pierce","WA","1 mile east of 675 Kamus Dr","47.2364","dd.dddd","Ð122.6272","dd.dddd",2008,"2008-NOV-09","Pinniped"
"NW-2008-1085643","Phoca","Seal, harbor","WDFW/MMI","Tacoma","Pierce","WA","Commencement Bay","47.2871","dd.dddd","Ð122.4055","dd.dddd",2008,"2008-JUL-29","Pinniped"
"NW-2008-1085645","Phoca","Seal, harbor","WDFW/MMI","Eagle Island","Pierce","WA","Eagle Island, S Side","47.1861","dd.dddd","Ð122.6916","dd.dddd",2008,"2008-JUN-18","Pinniped"
"NW-2008-1085647","Phoca","Seal, harbor","WDFW/MMI","Eagle Island","Pierce","WA","Eagle Island","47.1865","dd.dddd","Ð122.6907","dd.dddd",2008,"2008-JUL-15","Pinniped"
"NW-2008-1085649","Phoca","Seal, harbor","WDFW/MMI","Eagle Island","Pierce","WA","Eagle Island","47.1865","dd.dddd","Ð122.6907","dd.dddd",2008,"2008-JUL-15","Pinniped"
"NW-2008-1085651","Phoca","Seal, harbor","WDFW/MMI","Gertrude Island","Pierce","WA","In water East side of haulout, Gertrude Isand","47.2093","dd.dddd","Ð122.6568","dd.dddd",2008,"2008-MAY-07","Pinniped"
"NW-2008-1086035","Phoca","Seal, harbor","WDFW/MMI","Westport","Grays Harbor","WA","2 miles S. Bonge","46.845","dd.dddd","Ð124.1108","dd.dddd",2008,"2008-NOV-12","Pinniped"
"NW-2008-1086037","Phoca","Seal, harbor","WDFW/MMI","Silverdale","Kitsap","WA","3113 Bucklin Dr. NW","47.6498","dd.dddd","Ð122.6922","dd.dddd",2008,"2008-NOV-12","Pinniped"
"NW-2008-1086039","Phoca","Seal, harbor","WDFW/MMI","Gig Harbor","Pierce","WA","mid tide mark Belmar Point","47.3673","dd.dddd","Ð122.6725","dd.dddd",2008,"2008-NOV-11","Pinniped"
