National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2011-1135068,PSU11-03-03-Pp,11NWR03008,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Gearhart,Clatsop,OR,Pacific Ocean,Sunset Beach,46.10843,dd.dddd,,–123.94643,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2011-MAR-03,2011,MAR,3,Beach or Land,,Moderate Decomposition,N,2011-MAR-03,2011,MAR,3,Moderate Decomposition,N,MALE,SUBADULT,Y,N,128.5,cm,actual,0,lb,estimate,Y,Complete,Frozen,2011-MAR-29,2011,MAR,29,D'Alessandro et al,,
NW-2011-1134960,PSU11-04-27C-Pp,11NWR04022,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific Ocean,1 mile south of Klipsan access,46.44981,dd.dddd,,–124.06033,dd.dddd,,GPS,N,Y,N,N,Y,N,,N,N,Y,N,2011-APR-27,2011,APR,27,Beach or Land,,Fresh Dead,N,2011-APR-27,2011,APR,27,Fresh Dead,N,MALE,SUBADULT,Y,N,141,cm,actual,0,lb,estimate,Y,Complete,Fresh,2011-APR-29,2011,APR,29,Duffield et al,,
NW-2009-1091693,CRC-925,09NWR05015,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Beacon Pest Control,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Ocean Lake beach approach,46.984,dd.dddd,,–124.172,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2009-MAY-27,2009,MAY,27,Beach or Land,,Fresh Dead,N,2009-MAY-28,2009,MAY,28,Moderate Decomposition,N,MALE,SUBADULT,Y,N,141,cm,Actual,0,,,N,,,,,,,,First seen 25 May; not reported until 27 May. Removed from beach 28 May and kept on ice until taken to NMML freezers on 29 May,CRC-925
NW-2006-1056943,PSU06-03-04-Pp,06NWR03016,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Warrenton,Clatsop,OR,Pacific Ocean,1 mile south of jetty,46.2184666,decimal degrees,actual,–124.00676,decimal degrees,actual,GPS,N,Y,N,N,Y,N,,,,,,2006-MAR-04,2006,MAR,4,Beach or Land,,Moderate Decomposition,N,2006-MAR-04,2006,MAR,4,Moderate Decomposition,N,MALE,SUBADULT,,,123.3,cm,actual,0,lb,estimate,Y,,,2006-MAR-17,2006,MAR,17,PSU / Biology,,
NW-2007-1071947,07-PA-021,07NWR05005,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Long Beach Peninsula,Pacific,WA,Pacific Ocean,"5.5 miles north of the junction of Hwy 103 and Hwy 101, West of 148th Street",,decimal degrees,,,decimal degrees,,,N,N,N,N,N,N,,N,N,N,N,2007-MAY-10,2007,MAY,10,Floating,,Moderate Decomposition,Y,,,,,Advanced Decomposition,N,UNKNOWN,SUBADULT,Y,N,50,in,estimate,50,lb,estimate,N,,,,,,,,"Reported by a COASST volunteer several days after they had seen it, carcass was gone when Cascadia went to the site.",
NW-2010-1129884,PSU10-11-18-Dc,10NWR11034,Confirmed - High,"Dolphin, common, long-beaked",Delphinus,capensis,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Oysterville,Pacific,WA,Pacific Ocean,~1 mile north of Oysterville Beach approach,46.55105,dd.dddd,,–124.06274,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2010-NOV-18,2010,NOV,18,Beach or Land,,Moderate Decomposition,N,2010-NOV-18,2010,NOV,18,Moderate Decomposition,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,0,lb,estimate,NA,,,,,,,,,
NW-2012-1143028,2012-SJ009,12NWR05007,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,San Juan Island,San Juan,WA,Pacific Ocean,American Camp National Historical Park,48.456986,decimal degrees,estimate,–123.01383,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2012-MAY-06,2012,MAY,6,Beach or Land,,Condition Unknown,N,2012-MAY-07,2012,MAY,7,Moderate Decomposition,N,MALE,ADULT,N,Y,146,cm,actual,0,kg,estimate,N,,,,,,,,,
NW-2002-1027200,NW-4754,02NWR03001,,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brancato,,Olympic Coast National Marine Sanctuary,NW,Port Angeles,Clallam,WA,,Edig Hook - Bayside,,,,,,,,,N,N,N,N,N,,,,,,2002-MAR-12,2002,MAR,12,,,Fresh Dead,N,2002-MAR-12,2002,MAR,12,Advanced Decomposition,N,MALE,,,,130,cm,actual,100,lb,estimate,N,,,,,,,,,4754
NW-2017-1194190,EJC_2017_002,17NWR02016,Unconfirmed,"Porpoise, harbor",Phocoena,phocoena,Validated,Marine Science Center Port Townsend (East Jefferson Co. MMSN),Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Port Ludlow,Jefferson County,WA,Pacific Ocean,On a private beach in Port Ludlow,,decimal degrees,,,decimal degrees,,,N,CBD,N,N,N,N,,N,N,N,N,2017-FEB-24,2017,FEB,24,Beach or Land,,Alive,Y,,,,,,Y,UNKNOWN,UNKNOWN,Y,N,60,in,estimate,,,,N,,,,,,,,,
NW-2015-1172799,HMSC15-03-25-Pp,15NWR03005,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,about 1000 feet south of the Whiskey Run access,43.2052,dd.dddd,,–124.39639,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2015-MAR-25,2015,MAR,25,Beach or Land,,Fresh Dead,N,,,,,,N,FEMALE,ADULT,Y,N,165,cm,actual,0,lb,estimate,N,,,,,,,,photographed and measured by volunteers,
NW-2014-1170515,CRC-1454,14NWR09069,Confirmed- Medium Report,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,Clallam,WA,Pacific Ocean,"just S of Split Rock, Rialto beach",47.9394,dd.dddd,estimate,–124.6483,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2014-SEP-10,2014,SEP,10,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,MALE,SUBADULT,Y,N,125,cm,estimate,,,,N,,,,,,,,"seen on 10-Sep, not reported to stranding network until 16-Sep. No response due to delay in reporting. Examined via photos only.",
NW-2016-1191249,CRC-1535,16NWR07087,Confirmed- Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,near Best Western,47.016,dd.dddd,estimate,–124,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2016-JUL-13,2016,JUL,13,Beach or Land,,Condition Unknown,Y,,,,,,N,UNKNOWN,SUBADULT,Y,N,110,cm,estimate,,,,N,,,,,,,,"reported at 9pm, was gone by morning",
NW-2015-1174658,HMSC15-07-12-Lb,15NWR07051,Confirmed - High Report,"Dolphin, northern right whale",Lissodelphis,borealis,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,about 3.7 miles south of south jetty,43.963141,dd.dddd,,–124.142627,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2015-JUL-12,2015,JUL,12,Beach or Land,,Fresh Dead,N,2015-JUL-12,2015,JUL,12,Fresh Dead,N,MALE,YEARLING,Y,N,148,cm,actual,55,lb,actual,Y,complete,fresh,2015-JUL-13,2015,JUL,13,"Jim Rice, Joshua Carpenter, Breeze Kelley",,
NW-2014-1170697,2014-SJ090,14NWR12035,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Network Volunteer,Whale Museum,Whale Museum,NW,Orcas Island,San Juan,WA,Pacific Ocean,"Puget Sound, North Beach on Orcas Island",48.7138,decimal degrees,actual,–122.9061,decimal degrees,actual,Other,N,CBD,N,N,N,N,,N,N,N,N,2014-DEC-23,2014,DEC,23,Beach or Land,,Moderate Decomposition,Y,2014-DEC-23,2014,DEC,23,Moderate Decomposition,N,UNKNOWN,PUP/CALF,N,Y,76,in,estimate,0,lb,estimate,N,,,,,,,,It appeared that a dog had dragged the carcass up the beach towards the road. Carcass was collected and moved due to the popularity of the beach,
NW-2016-1193361,MKH2016-016,16NWR09071,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3403,dd.dddd,estimate,–125,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,N,N,N,,2016-SEP-05,2016,SEP,5,Beach or Land,,Moderate Decomposition,Y,2016-SEP-05,2016,SEP,5,,N,,,N,N,,,,,,,N,,,,,,,,Nothing recorded,
NW-2011-1137445,MKH2011-016,11NWR07080,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Ozette,Clallam,WA,Pacific Ocean,Offshore of Sand Point,48.1181,dd.dddd,,–124.76,dd.dddd,,GPS,N,CBD,N,N,N,N,,Y,Y,Y,,2011-JUL-22,2011,JUL,22,Floating,,Advanced Decomposition,N,2011-JUL-22,2011,JUL,22,Advanced Decomposition,N,FEMALE,ADULT,Y,N,160,cm,Estimated,,,,Y,Limited,Fresh,2011-JUL-25,2011,JUL,25,MFM,"Found floating offshore of Sand Point on way back from outer coast survey. Full-term fetus partially hanging out of adult - tail first. JS cut genital opening to expose fetus, still attached to placenta so collected placenta and umbilical cord for testing. No other tissues sampled, both carcasses left floating at site.",
NW-2008-1077851,PSU08-01-19-Lb,08NWR01026,Confirmed - High,"Dolphin, northern right whale",Lissodelphis,borealis,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Cannon Beach,Clatsop,OR,Pacific Ocean,Tolovana Park,45.869959,dd.dddd,,–123.962889,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2008-JAN-19,2008,JAN,19,Beach or Land,,Advanced Decomposition,N,2008-JAN-19,2008,JAN,19,Advanced Decomposition,N,MALE,PUP/CALF,Y,N,110.8,cm,actual,11.2,kg,actual,Y,limited,fresh,2008-APR-03,2008,APR,3,Duffield and Barros,,
NW-2009-1105017,PSU09-04-09-Pp,09NWR04031,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Cannon Beach,Clatsop,OR,Pacific Ocean,Cannon Beach,45.8703,dd.dddd,,–123.962360,dd.dddd,,GPS,N,Y,N,N,Y,N,"line marks, cuts, extensive hemorrhage and bruising; bloody foam in trachea, rib marks on lungs",N,N,Y,N,2009-APR-09,2009,APR,9,Beach or Land,,Fresh Dead,N,2009-APR-09,2009,APR,9,Fresh Dead,N,MALE,ADULT,Y,N,141.8,cm,actual,0,lb,estimate,Y,Complete,Frozen,2009-APR-16,2009,APR,16,Duffield and D'Alesandro,,
NW-2015-1181059,CRC-1510,15NWR11010,Confirmed- High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,1/4 mile N of casino,47.0463,dd.dddd,estimate,–124.1761,dd.dddd,estimate,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2015-NOV-11,2015,NOV,11,Beach or Land,,Alive,N,2015-NOV-11,2015,NOV,11,Fresh Dead,N,MALE,SUBADULT,Y,N,216,cm,actual,200,lb,estimate,Y,complete,fresh,2015-NOV-12,2015,NOV,12,CRC,3rd hand report of live dolphin in surf at 10:20. was dead by the time we could confirm it was there (11:15),
NW-2006-1058411,Pp-NPP-06-01,06NWR05033,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,Clallam Bay,Clallam,WA,Strait of Juan de Fuca,mouth of Clallam River,48.15.23,deg/min/sec,actual,124.15.33,deg/min/sec,actual,Internet,N,CBD,N,N,N,N,,,,,,2006-MAY-13,2006,MAY,13,Beach or Land,,Condition Unknown,N,2006-MAY-18,2006,MAY,18,Advanced Decomposition,N,UNKNOWN,UNKNOWN,,,45,in,estimate,,,,N,,,,,,,,,
NW-2012-1145068,2012-SJ053,12NWR09005,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,San Juan Island,San Juan,WA,Pacific Ocean,"American Historical Park, South Beach",48.454823,decimal degrees,estimate,–122.989669,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2012-SEP-03,2012,SEP,3,Beach or Land,,Condition Unknown,N,2012-SEP-03,2012,SEP,3,Fresh Dead,N,MALE,PUP/CALF,N,N,83,cm,actual,8,kg,actual,Y,complete,frozen,2012-SEP-12,2012,SEP,12,J Gaydos,,
NW-2013-1153324,CRC-1321,13NWR10028,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Poulsbo,Kitsap,WA,,Salsbury Point park,47.856,dd.dddd,,–122.607,dd.dddd,,,N,Y,N,N,Y,Y,,Y,N,N,,2013-OCT-25,2013,OCT,25,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,UNKNOWN,ADULT,Y,N,150,cm,estimate,,,,N,,,,,,,,"Incident seen on 25 Oct, not reported until 28 Oct. Unauthorized member of public removed animal from the beach.",
NW-2016-1186352,16-SJ-001,16NWR05003,Confirmed - High Report,"Whale, killer",Orcinus,orca,Validated,John Durban,Southwest Fisheries Science Center,Southwest Fisheries Science Center,NW,,San Juan,WA,Pacific Ocean,In False Bay,48.28,decimal degrees,actual,–123.08,decimal degrees,actual,GPS,N,N,N,N,N,N,,N,N,N,N,2016-MAY-13,2016,MAY,13,Floating,,Fresh Dead,Y,,,,,,N,UNKNOWN,PUP/CALF,Y,N,40.8,in,actual,,,,N,,,,,,,,"K27 was pushing a dead killer whale fetus. The fetus was small <1m long, but it was measured using aerial photogrammetry took by Dr. John Durban in due course. the 3.4 ft fetus suggests it was far from being fully developed. It was only observed for one surfacing from the air, never observable by boat, it was not visible during the next surfacing after a long dive. The fetus was very recently aborted and traces of the umbilicus were still visible. John believes they witnessed the first of surfacing of the mother after abortion. The presumed mother, K27, surfaced after a long dive seen pushing the fetus for a single surfacing run, and then the fetus was not visable. Email correspondence about the observed event is attached to the hard copy Level A. UPDATE:After exchanging notes with vet colleagues the best estimation is that the fetus was probably around a year into gestation. The article referred to for this case uploaded and at this link : http://nhmag.com/findings/153043/no-child-left-behind",
NW-2016-1189978,JdF26July1A,16NWR07032,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Helle Andersen,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,Clallam,WA,Pacific Ocean,At the mouth of Lees Creek,48.114805,decimal degrees,estimate,–123.388289,decimal degrees,,Internet,N,N,N,N,N,N,,Y,N,N,N,2016-JUL-26,2016,JUL,26,Beach or Land,,Moderate Decomposition,N,2016-JUL-26,2016,JUL,26,Moderate Decomposition,N,MALE,PUP/CALF,Y,N,72,cm,actual,,kg,estimate,N,,,,,,,,,
NW-2015-1177700,2015-SJ055,15NWR10010,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Joe Gaydos,Whale Museum,Whale Museum,NW,Orcas Island,San Juan,WA,Pacific Ocean,Eastsound,48.6572,dd.dddd,actual,–122.9111,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2015-OCT-21,2015,OCT,21,Beach or Land,,Fresh Dead,N,2015-OCT-21,2015,OCT,21,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,100,cm,actual,16,kg,actual,Y,complete,fresh,2015-OCT-22,2015,OCT,22,WM,Animal was called into SeaDoc by a friend,
NW-2003-1001196,HMSC03-04,03NWR06020,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,HMSC Stranding Audix,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Lincoln City,Lincoln,OR,Pacific Ocean,,,,,,,,,,CBD,N,N,N,,,,,,,2003-JUN-30,2003,JUN,30,Beach or Land,,Moderate Decomposition,N,2003-JUN-30,2003,JUN,30,Moderate Decomposition,,MALE,PUP/CALF,,,88,cm,actual,19,lb,actual,U,,,,,,,,,
NW-2002-1000241,WJM-2002-1,02NWR08002,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,"Other (see ""Remarks"")",Police,Police,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,near Chance de la Mer Approach; Ocean City State Park,46.3,deg/min/sec,,124.03,deg/min/sec,,,N,Y,N,N,Y,N,,,,,,2002-AUG-03,2002,AUG,3,Beach or Land,,Fresh Dead,N,2002-AUG-07,2002,AUG,7,Moderate Decomposition,N,MALE,ADULT,,,1160,cm,actual,,kg,actual,Y,,,2002-AUG-07,2002,AUG,7,"M., Bill",first reported by Terry Carlson of the Ocean City Park Service; later reported by Local Police,
NW-2017-1196885,PSU17-07-14B-Pp,17NWR07013,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Gearhart,Clatsop,OR,Pacific Ocean,1 mile south of 10th Street access,46.02053,decimal degrees,actual,–123.93037,decimal degrees,actual,GPS,N,Y,N,N,Y,N,,Y,N,Y,N,2017-JUL-14,2017,JUL,14,Beach or Land,,Moderate Decomposition,N,2017-JUL-14,2017,JUL,14,Moderate Decomposition,N,MALE,PUP/CALF,Y,N,83.1,cm,actual,,,,Y,complete,frozen,2017-AUG-10,2017,AUG,10,Duffield et al.,,
NW-2013-1151662,MBH010713Oo,13NWR01023,Confirmed - Medium Report,"Whale, killer",Orcinus,orca,Validated,Agency Biologist,USFWS,USFWS,NW,Sequim,Clallam,WA,Pacific Ocean,Strait of Juan de Fuca ~4.5mileson DNWR,48.18102,decimal degrees,actual,–123.11567,decimal degrees,actual,GPS,N,CBD,N,N,N,N,,N,N,N,N,2013-JAN-07,2013,JAN,7,,,Moderate Decomposition,N,2013-JAN-07,2013,JAN,7,Moderate Decomposition,N,UNKNOWN,PUP/CALF,N,N,240,cm,actual,0,kg,actual,N,,,,,,,,,
NW-2014-1169937,2014-SJ089,14NWR12001,Confirmed- High Report,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Volunteer,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Pacific Ocean,"South Beach, San Juan Island",48.4555,dd.dddd,actual,–122.9983,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2014-DEC-13,2014,DEC,13,Beach or Land,,Fresh Dead,N,2014-DEC-13,2014,DEC,13,Fresh Dead,N,FEMALE,ADULT,Y,N,212,cm,actual,132,kg,actual,Y,complete,fresh,2014-DEC-15,2014,DEC,15,WM,No external lesions or evidence of trauma. Teeth were worn down to the gum.,
NW-2014-1157597,2014-SJ008,14NWR05031,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Network Volunteer,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Pacific Ocean,False Bay,48.48888,decimal degrees,actual,–123.062990,decimal degrees,actual,GPS,N,CBD,N,N,N,N,,N,N,N,N,2014-MAY-28,2014,MAY,28,Beach or Land,,Fresh Dead,N,2014-MAY-28,2014,MAY,28,Fresh Dead,N,UNKNOWN,ADULT,Y,N,137,cm,actual,,,,N,,,,,,,,"Volunteer forgot how to determine sex, so there is no information as to the sex of this individual",large scavenging hole on left side of body - internal organs protruding from body
NW-2007-1067313,CRC-788,,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,Just south of Quinault Beach resort,47.037,decimal degrees,,–124.172,decimal degrees,,Internet/Software,N,CBD,N,N,N,N,,,,,,2007-MAY-05,2007,MAY,5,Beach or Land,,Fresh Dead,Y,2007-MAY-05,2007,MAY,5,Fresh Dead,N,,ADULT,,,150,cm,Estimated,120,lb,Estimated,N,,,,,,,,was reported up in the high tide line at 0800 on 5-May by enforcement officer driving the beach. JLH went out to pick up but by 1030 the animal had disappeared. Tide was out--appears to have been removed from beach by unknown party.,CRC-788
NW-2008-1081279,CRC-894,08NWR08063,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Westport,Grays Harbor,WA,Pacific Ocean,Between Ocean Ave and Jetty,46.8942,dd.dddd,,–124.1296,dd.dddd,,GPS,N,N,N,N,N,N,,Y,Y,Y,,2008-AUG-21,2008,AUG,21,Beach or Land,,Fresh Dead,N,2008-AUG-21,2008,AUG,21,Fresh Dead,N,FEMALE,ADULT,Y,N,154,cm,Actual,0,,,Y,limited,fresh,2008-AUG-21,2008,AUG,21,CRC,first seen in the morning but not reported until the afternoon.,CRC-894
NW-2016-1191251,CRC-1537,16NWR07089,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Pacific Beach,Grays Harbor,WA,Pacific Ocean,100 yds S of Analyde Gap,47.22,dd.dddd,actual,–124,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2016-JUL-18,2016,JUL,18,Beach or Land,,Fresh Dead,N,2016-JUL-18,2016,JUL,18,Fresh Dead,N,MALE,PUP/CALF,Y,N,75,cm,actual,6.3,kg,actual,Y,complete,fresh,2016-JUL-18,2016,JUL,18,CRC,,
NW-2009-1091691,CRC-923,09NWR04019,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Kristin Wilkinson,NOAA,NOAA,NW,Seattle,King,WA,Puget Sound,2936 Alki Ave SW,47.578,dd.dddd,,–122.415,dd.dddd,,Internet/Software,N,Y,N,N,N,Y,,Y,Y,Y,,2009-APR-26,2009,APR,26,Beach or Land,,,N,2009-APR-27,2009,APR,27,Fresh Dead,N,MALE,SUBADULT,Y,N,128,cm,Actual,29,kg,Actual,Y,complete,fresh,2009-APR-27,2009,APR,27,CRC,Reported on 26 April. Washed out overnight but washed back in near the sampe spot. Kristin picked up on 27 April and transferred to WDFW for CRC to necropsy.,CRC-923
NW-2015-1173036,CRC-1475,15NWR04023,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,just north of Casino,47.0429,dd.dddd,estimate,–124.1736,dd.dddd,estimate,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2015-APR-23,2015,APR,23,Beach or Land,,Fresh Dead,N,2015-APR-24,2015,APR,24,Fresh Dead,N,FEMALE,ADULT,Y,N,165,cm,actual,,,,Y,complete,frozen,2015-JUN-04,2015,JUN,4,AHC/CRC/WDFW/NMFS,"reported late in the day on 23-Apr, unable to recover before dark. Relocated and recovered on afternoon of 24 Apr, kept on ice overnight. Transferred to NMML freezer on 25-Apr for necropsy session at UW in June.",
NW-2008-1078005,CRC-838,08NWR04005,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Hansville,Kitsap,WA,Puget Sound,E side Driftwood Key,47.9024,dd.dddd,,–122.5864,dd.dddd,,GPS,N,CBD,N,N,N,N,,Y,Y,N,,2008-APR-14,2008,APR,14,Beach or Land,,Fresh Dead,N,2008-APR-15,2008,APR,15,Fresh Dead,N,UNKNOWN,YEARLING,N,Y,111,cm,Actual,45,lb,Actual,Y,,,,,,,CRC,,CRC-838
NW-2012-1152670,WDFW2012-209,12NWR11035,Confirmed- Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Eglon,Kitsap,WA,Puget Sound,Eglon boat ramp,47.8625,dd.dddd,estimate,–122.5138,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2012-NOV-19,2012,NOV,19,Beach or Land,,Moderate Decomposition,Y,,,,,,N,,,N,Y,,,,,,,N,,,,,,,,Reported cetacean back end on beach by Eglon boat ramp. No pictures. Message forwrded by CPSMMSN from State partol,WDFW2012-209
NW-2007-1070381,CRC-793,07NWR06056,Confirmed- Minimum,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Westport,Grays Harbor,WA,Pacific Ocean,970 Cohasset Dunes Lane,46.869,decimal degrees,,–124.121,decimal degrees,,Internet/Software,N,CBD,N,N,N,N,,,,,,2007-JUN-19,2007,JUN,19,Beach or Land,,Alive,Y,2007-JUN-19,2007,JUN,19,,N,,,,,,,,0,,,N,,,,,,,,"Described as 20-30 foot long, dark w/light splotches, no df. Thrashing and rolling in surf approx 20-30 feet from shore. Animal was no longer there by the time we arrived. Searched beach N and S, found nothing.",CRC-793
NW-2008-1081305,PSU08-04-24-Pp,08NWR04023,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,"Hatfield Marine Science Center, OSU",NW,Oysterville,Pacific,WA,Pacific Ocean,2 miles north of Oysterville Approach,46.58248,dd.dddd,,–124.06761,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2008-APR-24,2008,APR,24,Beach or Land,,Moderate Decomposition,Y,,,,,,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2007-1074753,PSU07-07-11-Pp,07NWR07408,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Ilwaco,Pacific,WA,Pacific Ocean,Benson Beach,46.2799,decimal degrees,,–124.07763,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2007-JUL-11,2007,JUL,11,Beach or Land,,Moderate Decomposition,N,2007-JUL-11,2007,JUL,11,Moderate Decomposition,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,0,lb,estimate,NA,,,,,,,,,
